iter	RMSE
0	124.0103283
1	122.0301814
2	120.0543658
3	118.3212537
4	116.3461384
5	114.636413
6	113.0819917
7	111.1883889
8	109.6035682
9	107.861296
10	106.2207125
11	104.8829499
12	103.4139999
13	102.179136
14	100.8386077
15	99.58215757
16	98.61320679
17	97.62543037
18	96.68213056
19	95.53080844
20	94.56337096
21	93.70699133
22	92.66299148
23	91.89773496
24	91.16917559
25	90.25096269
26	89.49969337
27	88.79475438
28	88.26653969
29	87.60837918
30	87.07671049
31	86.45262377
32	86.02102102
33	85.51988533
34	84.93484617
35	84.35186405
36	83.94333919
37	83.38028713
38	82.95553413
39	82.42243535
40	82.08043852
41	81.66275378
42	81.17543803
43	80.78267153
44	80.42573265
45	80.11849795
46	79.72180296
47	79.32301193
48	79.06595076
49	78.67847862
50	78.45224749
51	78.19474757
52	77.84483106
53	77.49820701
54	77.14120143
55	76.7739248
56	76.55171811
57	76.30796115
58	76.06103066
59	75.7581664
60	75.51805866
61	75.31777473
62	75.13281464
63	74.87758422
64	74.65926079
65	74.49107989
66	74.38346517
67	74.2240871
68	74.00888192
69	73.88138861
70	73.69817442
71	73.47475378
72	73.30812598
73	73.07841304
74	72.85889114
75	72.75647986
76	72.63578707
77	72.49280466
78	72.38671052
79	72.26301991
80	72.12701686
81	72.03038996
82	71.95224827
83	71.81308468
84	71.70444976
85	71.50262915
86	71.36733248
87	71.20839534
88	71.1300223
89	70.96063453
90	70.82201272
91	70.62754855
92	70.55075999
93	70.43933161
94	70.28489812
95	70.09071094
96	70.03968358
97	69.9039827
98	69.78698822
99	69.69059358
100	69.63189779
101	69.57052038
102	69.46750744
103	69.35709343
104	69.20573841
105	69.12148673
106	69.00721599
107	68.87235365
108	68.76620449
109	68.67608895
110	68.5908257
111	68.50471444
112	68.441045
113	68.29894389
114	68.1667593
115	68.11686683
116	68.0026936
117	67.87604644
118	67.78429431
119	67.65708963
120	67.51785229
121	67.4769678
122	67.34517519
123	67.22458359
124	67.1105813
125	67.00044225
126	66.87622925
127	66.75299872
128	66.67690517
129	66.57978533
130	66.45637341
131	66.38979831
132	66.29753561
133	66.21569626
134	66.11069793
135	65.96778167
136	65.89857173
137	65.83715529
138	65.72904657
139	65.64658766
140	65.56757544
141	65.48797343
142	65.42262844
143	65.32945818
144	65.23229345
145	65.15582934
146	65.05226364
147	64.98898966
148	64.91275117
149	64.75905191
150	64.69814982
151	64.64425593
152	64.51928568
153	64.45315108
154	64.36324082
155	64.26207001
156	64.14437454
157	64.06689509
158	64.00178201
159	63.93227222
160	63.88664935
161	63.82155229
162	63.71981056
163	63.59516296
164	63.54973208
165	63.44073217
166	63.28853488
167	63.23265573
168	63.17355255
169	63.11353309
170	63.05894003
171	63.00670444
172	62.92815768
173	62.82970757
174	62.73590162
175	62.67524793
176	62.5877231
177	62.45906345
178	62.35536516
179	62.26017096
180	62.15015925
181	62.06660349
182	61.99614659
183	61.93638769
184	61.85310639
185	61.78962461
186	61.7285454
187	61.67101537
188	61.59767474
189	61.49688755
190	61.42162307
191	61.36487623
192	61.28592157
193	61.19140973
194	61.13775597
195	61.03284876
196	60.97340145
197	60.88102255
198	60.79843139
199	60.6958986
200	60.60870746
201	60.52778944
202	60.45448357
203	60.36926135
204	60.26163321
205	60.21924141
206	60.15692433
207	60.106208
208	59.96691368
209	59.90965059
210	59.87167708
211	59.84409439
212	59.76604637
213	59.72149335
214	59.64632254
215	59.61857076
216	59.5403188
217	59.4710604
218	59.39697911
219	59.29559039
220	59.26522202
221	59.2189611
222	59.17083826
223	59.08927263
224	59.04410921
225	59.01856812
226	58.94045715
227	58.83290748
228	58.74162068
229	58.703241
230	58.63713239
231	58.56904357
232	58.49396359
233	58.43801378
234	58.41390123
235	58.20292455
236	58.10944613
237	58.04985013
238	57.97052359
239	57.92912191
240	57.86690215
241	57.73999999
242	57.68426666
243	57.57971559
244	57.53007628
245	57.49263137
246	57.43700288
247	57.41412475
248	57.39285791
249	57.33333308
250	57.27083401
251	57.23090639
252	57.17462732
253	57.15049015
254	57.10812917
255	57.05384083
256	57.0167436
257	56.97314231
258	56.78436031
259	56.60566632
260	56.56466416
261	56.51510446
262	56.49456548
263	56.38869179
264	56.34743535
265	56.31184535
266	56.1854614
267	56.15132426
268	56.0830963
269	56.00385006
